Date,Open,High,Low,Close,Adj Close,Volume
2021-02-19,7246.959961,7385.899902,7246.959961,7370.740234,7370.740234,29086200
2021-02-22,7370.740234,7466.790039,7318.279785,7453.439941,7453.439941,27162100
2021-02-23,7451.020020,7533.779785,7350.560059,7412.890137,7412.890137,35999100
2021-02-24,7412.330078,7534.290039,7412.259766,7515.419922,7515.419922,30874200
2021-02-25,7525.890137,7567.509766,7432.220215,7441.709961,7441.709961,39371600
2021-02-26,7435.939941,7435.939941,7304.910156,7341.479980,7341.479980,32883300
2021-03-01,7345.279785,7536.470215,7345.279785,7517.720215,7517.720215,22867000
2021-03-02,7518.680176,7604.770020,7494.770020,7537.990234,7537.990234,26387900
2021-03-03,7538.120117,7751.569824,7538.120117,7751.569824,7751.569824,26824800
2021-03-04,7751.009766,7811.700195,7685.390137,7809.839844,7809.839844,28959500
2021-03-05,7809.959961,7809.959961,7619.600098,7629.669922,7629.669922,30797500
2021-03-08,7628.729980,7815.319824,7628.729980,7812.930176,7812.930176,24942800
2021-03-09,7812.500000,7893.000000,7779.899902,7871.330078,7871.330078,28249600
2021-03-10,7868.899902,7894.120117,7806.609863,7869.979980,7869.979980,39761000
2021-03-11,7885.080078,8023.850098,7885.080078,7998.779785,7998.779785,26779100
2021-03-12,7998.450195,8008.689941,7919.569824,7976.350098,7976.350098,21539000
2021-03-15,7976.979980,8148.120117,7976.979980,8068.439941,8068.439941,16650000
2021-03-16,8069.419922,8116.399902,8038.520020,8079.890137,8079.890137,159600
2021-03-17,8079.729980,8079.729980,7999.990234,8048.339844,8048.339844,141900
2021-03-18,8048.339844,8116.129883,8008.859863,8096.640137,8096.640137,25850300
2021-03-19,8094.439941,8094.439941,7969.890137,7998.720215,7998.720215,28988400
2021-03-22,8004.379883,8004.379883,7856.250000,7951.930176,7951.930176,20641800
2021-03-23,7954.720215,7981.640137,7910.930176,7934.490234,7934.490234,23533100
2021-03-24,7934.709961,8002.109863,7847.689941,7965.560059,7965.560059,15055800
2021-03-25,7969.370117,7979.970215,7885.569824,7975.810059,7975.810059,20541200
2021-03-26,7975.240234,8116.370117,7967.600098,8083.660156,8083.660156,23927700
2021-03-29,8083.169922,8109.810059,8034.799805,8038.850098,8038.850098,16895700
2021-03-30,8043.589844,8113.720215,8043.589844,8106.000000,8106.000000,18356900
2021-03-31,8106.270020,8168.779785,8068.689941,8083.979980,8083.979980,27236000
2021-04-01,8084.009766,8132.370117,8081.359863,8103.319824,8103.319824,14250000
2021-04-06,8103.740234,8179.439941,8103.740234,8153.370117,8153.370117,18978300
2021-04-07,8098.660156,8136.149902,8060.029785,8131.379883,8131.379883,32422400
2021-04-08,8137.450195,8137.450195,8066.979980,8127.109863,8127.109863,23853500
2021-04-09,8130.910156,8163.500000,8098.080078,8117.120117,8117.120117,18200300
2021-04-12,8118.529785,8118.529785,8029.470215,8043.580078,8043.580078,14175600
2021-04-13,8043.549805,8123.029785,8017.120117,8044.870117,8044.870117,23350500
2021-04-14,8046.330078,8052.790039,7996.020020,8039.049805,8039.049805,16140700
2021-04-15,8039.930176,8073.279785,7997.250000,8028.069824,8028.069824,19882500
2021-04-16,8025.689941,8163.390137,8025.689941,8153.370117,8153.370117,33584900
2021-04-19,8152.629883,8213.910156,8121.089844,8148.540039,8148.540039,33791200
2021-04-20,8147.589844,8150.509766,7956.000000,7967.399902,7967.399902,23905200
2021-04-21,7967.569824,8025.299805,7925.299805,7986.859863,7986.859863,27433600
2021-04-22,7985.290039,8043.049805,7985.290039,8020.250000,8020.250000,13089100
2021-04-23,8012.419922,8077.049805,7992.200195,8072.180176,8072.180176,23063300
2021-04-26,8071.660156,8174.799805,8067.959961,8154.479980,8154.479980,16384500
2021-04-27,8154.819824,8180.009766,8132.350098,8165.879883,8165.879883,19525900
2021-04-28,8163.330078,8217.400391,8144.729980,8207.200195,8207.200195,13879300
2021-04-29,8216.169922,8250.780273,8144.120117,8172.310059,8172.310059,17396900
2021-04-30,8184.200195,8211.219727,8092.970215,8092.970215,8092.970215,31974500
2021-05-04,8093.399902,8192.370117,7994.049805,7999.750000,7999.750000,20245000
2021-05-05,7999.899902,8290.049805,7999.899902,8290.049805,8290.049805,44896600
2021-05-06,8290.049805,8337.519531,8258.330078,8301.509766,8301.509766,32853000
2021-05-07,8302.139648,8359.650391,8259.950195,8336.549805,8336.549805,15475900
2021-05-10,8337.980469,8366.450195,8296.919922,8322.660156,8322.660156,18769100
2021-05-11,8320.459961,8320.459961,8082.759766,8124.299805,8124.299805,19851300
2021-05-12,8124.020020,8129.879883,8024.149902,8073.750000,8073.750000,32743600
2021-05-13,8071.359863,8071.359863,7885.270020,7998.600098,7998.600098,16241100
2021-05-14,7999.970215,8110.140137,7999.970215,8101.870117,8101.870117,14176500
2021-05-17,8101.870117,8169.350098,8045.479980,8049.350098,8049.350098,17146500
2021-05-18,8048.870117,8141.879883,8044.100098,8050.729980,8050.729980,63820000
